Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","2002","2002","kg/ha","3865.2","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","2003","2003","kg/ha","3951","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","2004","2004","kg/ha","4026.7","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","2005","2005","kg/ha","4087.4","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","2006","2006","kg/ha","4122","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","2007","2007","kg/ha","4227.4","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","2008","2008","kg/ha","4298.5","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","2009","2009","kg/ha","4342.6","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","2010","2010","kg/ha","4324","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","2011","2011","kg/ha","4454.8","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","2012","2012","kg/ha","4528.7","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","2013","2013","kg/ha","4509.4","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","2014","2014","kg/ha","4533.5","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","2015","2015","kg/ha","4555","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","2016","2016","kg/ha","4542.6","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","2017","2017","kg/ha","4600.1","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","2018","2018","kg/ha","4651.1","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","2019","2019","kg/ha","4691.9","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","2020","2020","kg/ha","4693.8","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","2021","2021","kg/ha","4737.3","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","2022","2022","kg/ha","4709.6","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","2023","2023","kg/ha","4751.8","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1961","1961","kg/ha","1088.9","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1962","1962","kg/ha","1206","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1963","1963","kg/ha","1132","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1964","1964","kg/ha","1241.3","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1965","1965","kg/ha","1215.1","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1966","1966","kg/ha","1407.9","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1967","1967","kg/ha","1339.2","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1968","1968","kg/ha","1453.4","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1969","1969","kg/ha","1417.4","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1970","1970","kg/ha","1494.1","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1971","1971","kg/ha","1624.5","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1972","1972","kg/ha","1604.6","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1973","1973","kg/ha","1683.6","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1974","1974","kg/ha","1615.5","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1975","1975","kg/ha","1570.1","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1976","1976","kg/ha","1791.1","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1977","1977","kg/ha","1672.4","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1978","1978","kg/ha","1932.8","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1979","1979","kg/ha","1852.2","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1980","1980","kg/ha","1855.4","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1981","1981","kg/ha","1880","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1982","1982","kg/ha","1999.2","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1983","1983","kg/ha","2125.8","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1984","1984","kg/ha","2220.1","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1985","1985","kg/ha","2171.9","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1986","1986","kg/ha","2321.3","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1987","1987","kg/ha","2290","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1988","1988","kg/ha","2292.6","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1989","1989","kg/ha","2373.2","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1990","1990","kg/ha","2562.6","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1991","1991","kg/ha","2441.4","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1992","1992","kg/ha","2534","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1993","1993","kg/ha","2537","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1994","1994","kg/ha","2477.7","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1995","1995","kg/ha","2495.8","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1996","1996","kg/ha","2564","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1997","1997","kg/ha","2715.7","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1998","1998","kg/ha","2706.3","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","1999","1999","kg/ha","2746.2","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2000","2000","kg/ha","2731.6","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2001","2001","kg/ha","2741.7","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2002","2002","kg/ha","2755.1","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2003","2003","kg/ha","2651.4","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2004","2004","kg/ha","2942.6","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2005","2005","kg/ha","2828.7","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2006","2006","kg/ha","2890.5","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2007","2007","kg/ha","2815.4","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2008","2008","kg/ha","3062.5","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2009","2009","kg/ha","3035.6","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2010","2010","kg/ha","2972.1","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2011","2011","kg/ha","3163.9","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2012","2012","kg/ha","3093.4","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2013","2013","kg/ha","3251.2","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2014","2014","kg/ha","3319.5","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2015","2015","kg/ha","3327.2","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2016","2016","kg/ha","3418.3","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2017","2017","kg/ha","3557.3","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2018","2018","kg/ha","3444.5","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2019","2019","kg/ha","3575","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2020","2020","kg/ha","3499.6","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2021","2021","kg/ha","3522.9","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2022","2022","kg/ha","3704.4","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2023","2023","kg/ha","3625","E","Estimated value",""
